x1,x2
67 21 55 21 55 72 100 97 41 14 74 52 11 51 53 78 ,1.0
52 11 65 74 38 37 59 83 84 10 25 75 68 19 ,1.0
20 31 17 14 74 25 58 46 61 48 94 46 33 15 56 12 79 7 15 ,1.0
11 20 74 13 96 37 14 74 52 86 9 58 46 70 79 ,1.0
67 71 83 84 74 38 37 24 9 58 30 14 65 74 93 ,1.0
51 53 93 84 23 56 86 71 83 26 47 35 21 55 73 72 10 ,1.0
74 38 9 31 54 41 76 59 83 26 47 35 ,1.0
83 26 47 55 11 65 3 10 25 75 42 46 ,1.0
81 21 76 59 83 26 33 83 84 10 25 83 26 47 55 76 ,1.0
30 81 21 63 70 79 71 83 26 47 52 6 92 6 76 48 94 34 ,1.0
71 77 33 32 39 1 5 89 74 25 83 84 ,1.0
52 86 71 83 26 47 36 12 1 5 65 83 26 47 35 21 63 99 54 ,1.0
8 99 17 89 67 64 12 33 83 84 96 8 33 15 58 8 99 35 11 88 75 ,1.0
21 63 27 17 14 65 60 47 35 21 55 72 100 31 54 85 38 9 19 ,1.0
24 14 65 60 67 64 96 37 14 97 58 46 70 79 7 61 5 34 10 25 ,1.0
52 11 51 53 78 48 32 95 85 18 34 27 ,1.0
88 42 69 84 74 25 58 46 70 32 39 ,1.0
93 84 74 38 8 99 93 96 37 24 52 11 ,1.0
19 24 57 77 63 87 85 57 54 24 27 14 ,1.0
26 47 35 21 55 51 43 68 52 86 79 38 9 31 54 86 71 83 61 2 82 ,1.0
2 99 17 89 67 64 12 33 15 28 32 50 74 38 ,1.0
25 83 84 10 25 58 8 84 10 25 83 84 10 39 94 ,1.0
10 25 15 53 78 54 20 74 38 9 31 54 24 69 60 8 84 74 25 83 26 ,1.0
28 32 50 81 22 75 54 78 54 20 4 ,1.0
43 11 29 50 38 8 99 35 8 99 17 ,1.0
51 93 84 96 37 59 83 26 47 55 21 55 43 68 19 79 38 37 ,1.0
61 48 94 34 10 25 83 26 47 55 18 34 76 59 83 84 96 ,1.0
89 74 15 98 92 32 39 19 90 21 55 21 79 31 17 14 74 25 ,1.0
10 25 83 71 57 77 33 83 26 47 77 89 81 70 32 39 19 ,1.0
77 33 83 84 74 38 9 58 46 33 83 64 12 62 ,1.0
74 38 8 33 32 39 48 94 46 70 36 60 54 ,1.0
33 15 91 25 7 15 98 10 25 15 73 85 38 37 59 83 26 47 52 11 ,1.0
83 26 47 52 86 74 93 84 96 63 2 82 39 1 30 81 21 ,1.0
89 74 38 8 33 32 50 46 61 86 71 77 82 60 54 ,1.0
10 25 75 40 67 64 96 37 24 69 60 45 30 81 ,1.0
65 3 51 93 84 10 25 83 30 81 21 55 21 55 64 12 79 71 83 26 ,1.0
32 50 74 93 84 96 37 59 83 84 96 63 87 92 6 17 89 74 25 58 ,1.0
96 37 59 83 26 47 35 21 62 82 85 67 21 63 87 ,1.0
37 24 52 11 29 1 99 54 20 96 63 ,1.0
20 79 38 8 32 95 45 85 67 21 55 21 63 ,1.0
54 24 9 58 21 63 70 79 38 37 59 83 26 47 36 12 79 ,1.0
36 55 18 34 27 23 24 27 90 35 21 76 59 83 26 47 55 99 15 91 ,1.0
39 1 52 11 51 17 14 65 83 84 74 52 86 44 ,1.0
84 10 25 83 84 74 80 20 31 17 89 61 86 9 19 24 52 ,1.0
21 63 87 4 5 65 97 22 16 91 39 1 10 25 58 46 16 55 11 51 ,1.0
64 12 79 31 54 41 61 48 8 99 17 89 ,1.0
51 93 84 10 25 15 28 25 58 32 39 19 ,1.0
60 8 33 15 34 76 59 83 9 58 8 33 83 84 10 25 83 84 86 ,1.0
37 13 47 52 11 51 58 46 70 84 10 25 7 45 85 67 ,1.0
21 76 27 90 52 11 29 83 84 10 25 ,1.0
42 46 33 15 56 22 86 71 83 84 10 25 58 8 99 17 89 13 47 35 21 ,1.0
70 72 5 44 40 32 95 87 4 10 25 83 8 84 10 25 ,1.0
13 96 37 59 83 84 10 25 83 6 17 14 74 52 11 65 60 8 ,1.0
47 35 21 63 70 79 38 37 14 74 25 83 26 47 52 11 51 43 44 ,1.0
14 97 41 36 55 72 5 44 9 19 79 31 ,1.0
30 20 79 38 37 59 83 84 74 25 58 ,1.0
86 71 83 61 48 32 95 87 4 10 25 83 26 47 35 21 76 ,1.0
7 44 28 25 83 26 33 32 39 10 25 83 26 47 55 21 63 87 ,1.0
93 84 10 25 15 74 52 11 29 59 10 25 75 14 74 38 8 ,1.0
90 21 55 21 76 59 10 25 75 40 32 95 34 27 90 62 33 15 56 12 ,1.0
18 41 61 5 89 67 61 4 5 89 25 83 57 77 4 69 ,1.0
67 64 96 63 87 54 24 69 65 97 95 45 30 81 72 5 89 74 80 88 83 ,1.0
95 22 75 54 20 60 8 84 74 25 75 40 ,1.0
21 55 73 72 60 8 33 32 39 10 39 ,1.0
68 52 11 65 83 26 47 55 11 51 35 21 88 83 84 ,1.0
83 26 47 55 31 54 41 61 4 5 34 27 ,1.0
4 69 84 74 80 88 7 5 44 28 32 ,1.0
94 14 74 93 84 74 80 72 10 25 75 54 24 52 11 51 53 88 ,1.0
46 61 86 74 80 20 60 8 33 15 56 22 13 47 35 24 52 11 20 ,1.0
65 74 80 20 96 63 57 77 4 10 25 58 8 33 32 95 29 ,1.0
39 19 24 14 74 25 15 56 22 45 11 29 50 46 ,1.0
29 10 25 82 60 8 33 83 26 47 36 60 8 ,1.0
85 45 30 52 68 52 11 65 83 84 10 25 15 28 32 50 46 70 72 5 ,1.0
12 79 17 89 74 93 84 74 15 85 67 71 77 33 15 3 29 27 ,1.0
94 67 21 55 51 81 45 30 67 64 96 37 59 83 26 47 55 11 81 45 30 ,1.0
2 99 89 67 64 96 37 14 97 22 45 11 65 60 47 35 21 63 99 ,1.0
43 11 51 43 44 9 19 24 27 88 75 53 58 ,1.0
21 76 59 10 25 75 68 19 82 60 8 84 10 39 19 24 52 86 ,1.0
26 47 55 76 59 83 26 33 83 84 10 25 15 56 ,1.0
33 83 84 10 25 75 54 24 14 74 38 8 ,1.0
8 32 39 10 39 19 24 14 65 3 8 99 18 41 76 59 ,1.0
98 92 68 52 11 51 81 21 63 87 92 32 95 34 ,1.0
18 41 43 68 52 86 9 31 17 14 65 97 72 5 44 28 25 83 84 10 ,1.0
32 50 59 62 33 15 98 92 32 39 19 82 39 91 3 10 25 75 40 ,1.0
21 63 70 72 60 67 64 96 37 14 74 15 91 42 18 41 76 59 ,1.0
40 4 5 65 97 42 21 76 59 10 39 91 7 61 86 44 ,1.0
65 60 45 85 57 77 82 85 38 26 33 32 77 4 69 60 8 33 ,1.0
25 58 46 70 79 38 8 33 32 95 43 68 52 11 21 63 70 ,1.0
94 14 74 80 60 8 33 32 95 87 78 48 94 46 70 ,1.0
60 45 30 81 21 55 72 100 31 17 89 67 21 55 ,1.0
33 83 84 74 38 9 19 17 79 31 88 ,1.0
30 93 84 10 25 83 26 47 55 73 6 17 14 74 38 37 14 65 97 95 ,1.0
45 11 51 35 21 63 57 77 82 60 8 62 82 39 91 26 33 15 3 10 ,1.0
57 10 25 58 46 16 65 44 28 25 83 ,1.0
44 9 31 54 41 76 59 10 25 15 3 51 53 78 15 ,1.0
24 27 23 37 59 83 26 47 55 21 76 48 94 4 10 25 ,1.0
83 26 47 55 11 29 27 23 37 14 65 97 83 26 33 83 84 96 37 14 ,1.0
65 97 42 39 1 77 99 89 74 25 15 12 79 7 5 44 40 67 21 63 87 ,1.0
57 77 4 5 44 40 4 5 89 67 71 83 84 96 ,1.0
69 60 8 86 71 83 84 74 38 37 13 96 37 ,1.0
96 37 24 27 88 83 47 55 18 34 27 17 ,1.0
33 32 77 99 89 67 71 77 82 85 49 28 ,1.0
60 67 64 12 1 99 15 56 86 74 15 3 29 10 25 58 ,1.0
30 81 45 85 18 34 56 86 44 9 19 24 52 86 74 ,1.0
82 39 19 24 52 11 20 74 38 8 33 15 85 67 64 12 79 38 ,1.0
23 24 52 11 29 67 21 55 73 6 17 14 74 ,1.0
19 24 69 60 54 86 71 77 4 5 44 9 31 17 ,1.0
65 44 28 25 58 8 33 15 73 72 5 ,1.0
96 63 70 32 95 87 78 15 98 92 6 76 21 63 87 92 32 39 94 14 65 ,1.0
61 4 5 89 74 93 84 10 25 15 53 51 93 96 8 32 95 85 67 ,1.0
28 25 58 46 61 72 5 89 74 80 91 31 54 20 79 38 37 ,1.0
10 25 58 46 16 65 83 84 60 67 71 83 59 79 38 91 81 21 76 ,1.0
83 4 5 65 97 72 60 45 85 67 64 96 84 23 37 59 10 71 ,1.0
60 54 24 52 34 56 22 15 56 86 44 9 19 24 27 17 51 53 5 ,1.0
10 25 58 46 33 15 98 10 25 15 28 32 39 94 34 ,1.0
12 79 7 88 83 84 74 25 75 42 46 ,1.0
10 25 83 84 74 13 98 92 68 19 24 69 60 8 84 74 80 ,1.0
46 70 79 38 37 14 74 25 15 91 42 ,1.0
39 19 17 14 65 44 68 19 79 31 54 86 74 80 72 5 44 40 4 69 ,1.0
84 23 37 24 14 74 25 75 42 10 61 43 ,1.0
9 19 24 14 74 93 96 8 33 15 74 15 53 ,1.0
81 21 55 64 12 33 15 91 7 15 3 29 27 90 35 21 63 2 99 54 20 ,1.0
5 44 9 19 79 17 14 65 44 40 4 5 ,1.0
44 28 25 15 53 76 59 83 84 96 8 99 93 84 96 63 70 35 21 76 48 ,1.0
31 54 41 36 52 34 27 17 89 67 64 ,1.0
82 99 89 67 84 10 25 58 46 61 5 65 3 51 81 21 63 57 10 ,1.0
8 84 10 25 75 54 86 71 83 84 10 ,1.0
97 58 8 84 23 37 13 96 37 59 83 26 47 ,1.0
42 10 25 83 84 96 63 70 79 7 88 83 61 2 34 88 ,1.0
86 71 83 84 10 25 75 40 37 14 74 93 84 74 38 ,1.0
37 13 47 36 60 8 84 74 93 84 10 25 83 26 47 55 18 34 56 ,1.0
10 25 58 8 33 32 95 45 30 76 59 ,1.0
82 33 32 95 34 56 12 33 15 28 32 50 74 38 68 19 82 33 32 39 10 ,1.0
84 10 25 15 74 52 11 81 45 85 67 64 96 63 70 35 21 55 76 59 10 ,1.0
65 60 8 99 89 74 25 58 46 61 5 100 31 54 24 14 74 ,1.0
5 92 32 39 91 8 84 96 37 59 83 26 33 15 73 85 57 ,1.0
74 93 96 84 10 25 75 40 4 5 44 9 19 17 ,1.0
45 30 85 18 34 9 19 24 27 17 89 74 93 96 37 59 10 25 83 ,1.0
69 84 10 61 4 5 44 28 25 83 84 74 93 84 10 ,1.0
88 75 40 32 95 22 13 96 37 59 83 8 33 15 53 93 40 ,1.0
82 85 67 64 12 33 83 84 23 37 59 ,1.0
61 86 44 9 58 32 39 10 25 83 26 47 35 21 ,1.0
83 84 23 28 25 83 84 96 61 86 74 80 60 ,1.0
19 24 27 17 89 67 5 65 97 42 46 70 36 55 11 51 93 84 ,1.0
65 74 52 11 51 53 58 46 16 91 39 19 24 69 65 44 68 19 79 ,1.0
94 72 60 8 33 15 30 86 72 5 65 83 26 33 15 53 ,1.0
24 69 65 60 8 99 89 74 15 98 10 25 83 26 47 35 8 84 ,1.0
31 54 24 14 74 80 72 5 89 74 38 37 14 ,1.0
20 74 80 88 4 69 60 8 99 48 94 34 76 59 10 78 15 ,1.0
88 75 53 5 89 74 38 8 84 10 25 ,1.0
13 96 63 57 10 25 83 26 47 55 21 63 57 10 25 ,1.0
67 5 89 67 21 63 57 10 61 86 71 ,1.0
75 54 20 72 100 13 47 55 51 32 95 45 30 81 45 11 ,1.0
83 26 33 15 3 10 25 75 40 37 14 65 60 8 33 83 26 33 83 84 10 ,1.0
8 33 32 95 29 1 10 25 83 84 74 15 56 86 ,1.0
74 80 60 8 33 15 73 85 38 37 24 ,1.0
25 83 26 33 32 95 45 30 51 81 21 63 99 ,1.0
52 11 29 27 23 37 14 17 66 92 21 55 18 34 76 59 83 26 47 ,1.0
94 34 88 4 69 65 83 84 74 80 88 83 84 96 8 32 39 10 25 ,1.0
100 97 22 45 85 57 77 99 18 41 29 ,1.0
45 30 81 72 100 67 64 12 1 52 86 9 51 93 84 ,1.0
88 4 5 44 28 25 7 15 73 85 18 41 36 55 73 85 57 10 25 83 26 ,1.0
83 84 10 25 58 46 70 79 71 83 61 4 5 44 28 25 15 91 7 5 ,1.0
95 34 27 23 24 69 60 45 30 81 45 ,1.0
46 70 84 74 38 37 24 69 65 60 54 20 79 ,1.0
32 95 87 92 6 76 59 10 25 75 42 ,1.0
54 24 27 88 4 69 60 8 32 95 85 ,1.0
42 21 55 18 41 36 12 1 52 86 74 25 83 26 47 36 60 ,1.0
47 55 11 81 45 30 5 44 28 32 39 ,1.0
28 32 39 19 24 14 65 83 84 10 25 58 30 32 95 45 ,1.0
85 67 5 89 67 21 63 87 92 68 19 24 52 11 51 35 21 63 70 79 ,1.0
17 89 67 21 55 11 65 44 9 19 24 52 11 ,1.0
69 84 10 25 15 73 85 38 8 99 48 94 34 9 ,1.0
21 55 64 96 37 59 83 85 57 77 99 93 84 10 25 ,1.0
35 21 63 70 35 49 70 72 5 44 28 25 ,1.0
83 84 74 15 56 28 25 58 30 81 21 55 72 60 ,1.0
91 26 33 15 34 10 25 83 84 74 38 9 19 24 27 ,1.0
72 5 44 28 25 58 8 4 5 65 60 8 ,1.0
38 37 24 52 11 29 59 10 25 83 84 96 37 24 52 11 51 93 96 37 ,1.0
77 4 5 89 67 21 63 57 77 4 69 84 74 80 88 7 5 44 9 19 24 ,1.0
10 1 52 11 81 21 55 51 93 40 32 39 2 34 76 48 94 46 70 ,1.0
82 39 91 3 51 43 68 52 11 65 83 26 33 83 84 74 93 40 37 ,1.0
25 83 84 96 63 70 72 60 8 99 89 67 21 63 ,1.0
30 81 45 30 81 45 30 81 21 63 57 77 33 15 28 ,1.0
77 82 60 45 30 12 79 38 37 59 10 25 ,1.0
22 13 47 35 21 63 57 10 25 75 68 19 24 52 11 81 21 55 ,1.0
81 21 55 73 72 5 89 74 80 88 83 84 31 54 41 61 48 94 4 5 89 ,1.0
1 52 86 71 83 26 33 83 26 33 83 88 7 88 ,1.0
56 6 76 43 39 94 46 70 72 60 45 85 18 34 94 47 55 21 62 82 ,1.0
64 12 79 7 15 3 29 67 21 76 48 32 50 38 37 79 31 54 20 ,1.0
87 54 78 15 91 26 33 83 26 47 55 73 72 5 44 9 31 ,1.0
65 83 46 61 5 44 40 32 95 34 56 12 79 ,1.0
89 74 25 58 30 77 82 39 19 24 52 11 29 ,1.0
100 13 96 37 24 52 11 20 31 88 83 ,1.0
44 40 37 14 80 72 100 13 15 30 81 21 ,1.0
65 83 84 74 80 60 18 41 36 55 18 21 63 87 4 10 25 75 68 19 ,1.0
30 81 45 30 81 45 30 60 45 30 81 ,1.0
37 59 62 33 15 3 29 5 65 44 28 32 50 38 9 19 ,1.0
15 53 93 84 74 52 11 29 50 38 37 24 27 90 62 82 39 91 ,1.0
84 10 25 15 28 32 39 90 35 21 63 57 10 25 ,1.0
84 74 25 58 32 77 99 89 61 86 71 83 26 47 52 86 44 ,1.0
67 21 63 87 85 18 34 76 59 83 1 52 11 29 59 83 61 5 ,1.0
25 58 32 39 94 46 33 83 26 47 55 64 ,1.0
82 39 19 24 69 100 13 47 35 31 17 89 74 13 47 55 ,1.0
67 21 55 76 59 83 26 33 15 56 22 13 96 84 96 84 ,1.0
48 94 46 16 65 44 40 32 39 1 99 89 67 5 89 74 52 86 74 93 84 ,1.0
31 95 45 85 57 100 13 47 35 21 55 64 12 1 5 44 28 25 83 ,1.0
79 38 37 14 74 52 11 65 97 10 25 15 74 80 20 79 31 54 86 79 ,1.0
84 10 25 58 30 81 21 63 70 79 38 8 84 10 25 ,1.0
99 48 94 34 94 14 74 80 44 28 25 83 26 33 32 95 87 4 5 ,1.0
33 32 95 87 92 32 95 34 27 90 52 ,1.0
27 23 24 27 23 37 24 69 84 10 25 83 84 ,1.0
88 7 61 5 65 74 52 86 71 83 49 15 98 10 25 58 8 99 35 21 ,1.0
77 99 48 94 14 74 93 96 63 57 10 25 15 28 25 58 32 39 48 94 14 ,1.0
2 82 39 19 24 52 11 81 45 30 5 44 28 25 14 97 ,1.0
31 17 14 74 80 20 79 31 17 14 74 38 9 ,1.0
41 76 59 83 84 74 25 15 53 58 30 76 ,1.0
75 54 20 31 4 10 25 75 68 19 82 60 ,1.0
21 55 73 6 5 44 28 25 7 5 65 83 84 74 25 83 ,1.0
96 8 33 32 95 34 10 25 7 15 74 25 58 8 33 32 ,1.0
81 21 63 87 54 20 74 15 73 85 67 21 76 48 94 4 69 60 45 30 26 ,1.0
97 59 83 26 33 32 95 85 18 34 27 90 52 86 71 83 61 86 74 ,1.0
96 84 46 16 65 60 45 30 81 21 63 87 54 24 52 86 9 31 17 14 65 ,1.0
31 54 20 72 5 44 9 19 24 69 65 ,1.0
61 4 5 44 9 19 17 89 67 21 63 70 32 95 87 54 86 74 52 11 ,1.0
65 60 45 30 95 34 76 59 27 17 89 74 25 ,1.0
5 44 28 25 58 30 4 5 89 67 64 12 79 38 37 59 10 25 58 30 64 ,1.0
4 5 44 9 58 8 99 18 41 61 5 44 9 31 54 20 31 ,1.0
54 24 52 11 65 83 64 96 8 99 48 94 ,1.0
92 68 19 24 69 10 25 58 32 39 44 ,1.0
83 84 10 25 58 46 33 15 98 10 25 83 26 33 32 50 81 45 ,1.0
14 74 80 72 5 65 97 22 75 54 24 9 55 ,1.0
37 13 98 92 21 63 70 36 55 73 72 84 10 ,1.0
20 79 31 54 20 79 31 17 14 65 83 84 74 ,1.0
32 39 1 10 25 75 68 52 86 71 77 82 85 38 8 33 15 53 51 ,1.0
51 93 96 63 99 17 14 74 13 39 48 8 33 32 95 85 57 77 33 83 84 ,1.0
30 81 21 63 70 79 38 37 59 83 26 47 35 8 84 96 8 62 ,1.0
18 41 39 19 24 69 60 45 71 17 14 74 ,1.0
67 64 12 1 52 11 29 50 74 80 44 9 31 17 89 67 5 89 74 80 60 ,1.0
52 11 29 27 17 89 67 71 83 26 47 ,1.0
77 33 15 73 85 67 64 96 63 70 36 60 ,1.0
9 58 8 33 15 74 25 83 84 74 15 56 6 76 59 95 85 67 ,1.0
31 54 41 76 59 83 84 96 37 14 97 ,1.0
67 21 76 59 83 26 47 36 52 11 29 5 44 ,1.0
71 83 26 47 36 55 76 83 26 86 71 83 45 85 38 8 62 33 15 ,1.0
32 95 45 30 81 21 55 99 17 89 67 64 12 ,1.0
99 15 3 51 81 21 55 72 5 67 21 63 87 92 32 39 7 15 ,1.0
86 74 38 48 8 84 10 25 58 32 39 19 82 60 67 5 65 ,1.0
63 87 4 5 89 67 21 55 21 55 72 ,1.0
13 96 8 32 39 10 25 75 42 21 76 48 8 62 82 39 ,1.0
8 84 74 80 72 5 44 28 25 15 91 73 6 64 96 63 87 92 ,1.0
54 24 52 86 74 15 28 25 75 14 65 97 58 ,1.0
